trained_original,input_original,input_size,generation_num,similarity_to_trained,similarity_to_input
paradise_lost.txt,shakespeare.txt,1,100,0.930117142383117,0.7900756894656221
shakespeare.txt,iliad.txt,1,100,0.9090286688015893,0.8661361716573146
iliad.txt,paradise_lost.txt,3,100,0.9705026275747126,0.8749706753653379
divine_comedy.txt,divine_comedy.txt,3,100,0.9491987075989419,0.9491987075989419
shakespeare.txt,divine_comedy.txt,3,100,0.9350005653085979,0.9157807233405797
divine_comedy.txt,divine_comedy.txt,1,100,0.9241202215119184,0.9241202215119184
shakespeare.txt,divine_comedy.txt,1,100,0.9373208062577041,0.8926159952698011
iliad.txt,paradise_lost.txt,1,100,0.9586049119744869,0.804333226986402
shakespeare.txt,iliad.txt,3,100,0.9121507484555679,0.9091372454087797
paradise_lost.txt,divine_comedy.txt,5,100,0.9354677221412757,0.9310599027594063
paradise_lost.txt,divine_comedy.txt,1,100,0.919413701080855,0.9137617943903462
iliad.txt,paradise_lost.txt,5,100,0.9679334400676889,0.8670758702683713
shakespeare.txt,divine_comedy.txt,5,100,0.9241710071574278,0.9151281513231644
divine_comedy.txt,divine_comedy.txt,5,100,0.9437395918215147,0.9437395918215147
shakespeare.txt,iliad.txt,5,100,0.9146048470669974,0.9042644612435471
paradise_lost.txt,divine_comedy.txt,3,100,0.9490150400897771,0.9241866411999287
divine_comedy.txt,iliad.txt,1,100,0.9344811956357801,0.9270659556364204
treasure_island.txt,divine_comedy.txt,5,100,0.9552245222662213,0.8965834352605226
shakespeare.txt,treasure_island.txt,5,100,0.9189096101618053,0.9206287458296042
iliad.txt,shakespeare.txt,5,100,0.9685170238063707,0.7743044684302282
divine_comedy.txt,iliad.txt,3,100,0.940866981924025,0.9271071195494043
treasure_island.txt,divine_comedy.txt,3,100,0.9618382061802458,0.9075165204678024
iliad.txt,shakespeare.txt,1,100,0.9627148036010819,0.7169292472530195
shakespeare.txt,treasure_island.txt,3,100,0.9310483253950154,0.8948214018169891
shakespeare.txt,treasure_island.txt,1,100,0.9468977701792815,0.8791009806390386
iliad.txt,shakespeare.txt,3,100,0.967818895711327,0.753032744401936
treasure_island.txt,divine_comedy.txt,1,100,0.9532659975027409,0.8812015865404599
divine_comedy.txt,iliad.txt,5,100,0.9328275129684293,0.940401460398778
treasure_island.txt,iliad.txt,3a,200,0.9690372533124655,0.9423490541365246
iliad.txt,paradise_lost.txt,1a,200,0.9706172206497511,0.8349347218585926
iliad.txt,divine_comedy.txt,5a,200,0.9744512165196023,0.9022491700425739
shakespeare.txt,divine_comedy.txt,3a,200,0.9448566073136389,0.9326078564123871
iliad.txt,treasure_island.txt,3a,200,0.972852926537044,0.9015862982424556
paradise_lost.txt,divine_comedy.txt,5a,200,0.9307587702388683,0.9438357125165028
paradise_lost.txt,paradise_lost.txt,1a,200,0.9429822029140207,0.9429822029140207
divine_comedy.txt,shakespeare.txt,1a,200,0.9459717146851754,0.7954029921485776
